step,parameter,exponent,count,elements,zero_count
1,blocks.0.attn.k.weight,104,0,589824,0
1,blocks.0.attn.k.weight,105,0,589824,0
1,blocks.0.attn.k.weight,106,0,589824,0
1,blocks.0.attn.k.weight,107,0,589824,0
1,blocks.0.attn.k.weight,108,0,589824,0
1,blocks.0.attn.k.weight,109,0,589824,0
1,blocks.0.attn.k.weight,110,0,589824,0
1,blocks.0.attn.k.weight,111,0,589824,0
1,blocks.0.attn.k.weight,112,0,589824,0
1,blocks.0.attn.k.weight,113,0,589824,0
1,blocks.0.attn.k.weight,114,0,589824,0
1,blocks.0.attn.k.weight,115,0,589824,0
1,blocks.0.attn.k.weight,116,0,589824,0
1,blocks.0.attn.k.weight,117,0,589824,0
1,blocks.0.attn.k.weight,118,0,589824,0
1,blocks.0.attn.k.weight,119,0,589824,0
1,blocks.0.attn.k.weight,120,0,589824,0
1,blocks.0.attn.k.weight,121,0,589824,0
1,blocks.0.attn.k.weight,122,0,589824,0
1,blocks.0.attn.k.weight,123,0,589824,0
1,blocks.0.attn.k.weight,124,0,589824,0
1,blocks.0.attn.k.weight,125,0,589824,0
1,blocks.0.attn.k.weight,126,0,589824,0
1,blocks.0.attn.k.weight,127,0,589824,0
1,blocks.0.attn.k.weight,128,0,589824,0
1,blocks.0.attn.v.weight,-127,589824,589824,589824
1,blocks.0.attn.v.weight,-126,0,589824,0
1,blocks.0.attn.v.weight,-125,0,589824,0
1,blocks.0.attn.v.weight,-124,0,589824,0
1,blocks.0.attn.v.weight,-123,0,589824,0
1,blocks.0.attn.v.weight,-122,0,589824,0
1,blocks.0.attn.v.weight,-121,0,589824,0
1,blocks.0.attn.v.weight,-120,0,589824,0
1,blocks.0.attn.v.weight,-119,0,589824,0
1,blocks.0.attn.v.weight,-118,0,589824,0
1,blocks.0.attn.v.weight,-117,0,589824,0
1,blocks.0.attn.v.weight,-116,0,589824,0
1,blocks.0.attn.v.weight,-115,0,589824,0
1,blocks.0.attn.v.weight,-114,0,589824,0
1,blocks.0.attn.v.weight,-113,0,589824,0
1,blocks.0.attn.v.weight,-112,0,589824,0
1,blocks.0.attn.v.weight,-111,0,589824,0
1,blocks.0.attn.v.weight,-110,0,589824,0
1,blocks.0.attn.v.weight,-109,0,589824,0
1,blocks.0.attn.v.weight,-108,0,589824,0
1,blocks.0.attn.v.weight,-107,0,589824,0
1,blocks.0.attn.v.weight,-106,0,589824,0
1,blocks.0.attn.v.weight,-105,0,589824,0
1,blocks.0.attn.v.weight,-104,0,589824,0
1,blocks.0.attn.v.weight,-103,0,589824,0
1,blocks.0.attn.v.weight,-102,0,589824,0
1,blocks.0.attn.v.weight,-101,0,589824,0
1,blocks.0.attn.v.weight,-100,0,589824,0
1,blocks.0.attn.v.weight,-99,0,589824,0
1,blocks.0.attn.v.weight,-98,0,589824,0
1,blocks.0.attn.v.weight,-97,0,589824,0
1,blocks.0.attn.v.weight,-96,0,589824,0
1,blocks.0.attn.v.weight,-95,0,589824,0
