step,parameter,exponent,count,elements,zero_count
300,blocks.0.attn.q.weight,106,0,589824,0
300,blocks.0.attn.q.weight,107,0,589824,0
300,blocks.0.attn.q.weight,108,0,589824,0
300,blocks.0.attn.q.weight,109,0,589824,0
300,blocks.0.attn.q.weight,110,0,589824,0
300,blocks.0.attn.q.weight,111,0,589824,0
300,blocks.0.attn.q.weight,112,0,589824,0
300,blocks.0.attn.q.weight,113,0,589824,0
300,blocks.0.attn.q.weight,114,0,589824,0
300,blocks.0.attn.q.weight,115,0,589824,0
300,blocks.0.attn.q.weight,116,0,589824,0
300,blocks.0.attn.q.weight,117,0,589824,0
300,blocks.0.attn.q.weight,118,0,589824,0
300,blocks.0.attn.q.weight,119,0,589824,0
300,blocks.0.attn.q.weight,120,0,589824,0
300,blocks.0.attn.q.weight,121,0,589824,0
300,blocks.0.attn.q.weight,122,0,589824,0
300,blocks.0.attn.q.weight,123,0,589824,0
300,blocks.0.attn.q.weight,124,0,589824,0
300,blocks.0.attn.q.weight,125,0,589824,0
300,blocks.0.attn.q.weight,126,0,589824,0
300,blocks.0.attn.q.weight,127,0,589824,0
300,blocks.0.attn.q.weight,128,0,589824,0
300,blocks.0.attn.k.weight,-127,0,589824,0
300,blocks.0.attn.k.weight,-126,0,589824,0
300,blocks.0.attn.k.weight,-125,0,589824,0
300,blocks.0.attn.k.weight,-124,0,589824,0
300,blocks.0.attn.k.weight,-123,0,589824,0
300,blocks.0.attn.k.weight,-122,0,589824,0
300,blocks.0.attn.k.weight,-121,0,589824,0
300,blocks.0.attn.k.weight,-120,0,589824,0
300,blocks.0.attn.k.weight,-119,0,589824,0
300,blocks.0.attn.k.weight,-118,0,589824,0
300,blocks.0.attn.k.weight,-117,0,589824,0
300,blocks.0.attn.k.weight,-116,0,589824,0
300,blocks.0.attn.k.weight,-115,0,589824,0
300,blocks.0.attn.k.weight,-114,0,589824,0
300,blocks.0.attn.k.weight,-113,0,589824,0
300,blocks.0.attn.k.weight,-112,0,589824,0
300,blocks.0.attn.k.weight,-111,0,589824,0
300,blocks.0.attn.k.weight,-110,0,589824,0
300,blocks.0.attn.k.weight,-109,0,589824,0
300,blocks.0.attn.k.weight,-108,0,589824,0
300,blocks.0.attn.k.weight,-107,0,589824,0
300,blocks.0.attn.k.weight,-106,0,589824,0
300,blocks.0.attn.k.weight,-105,0,589824,0
300,blocks.0.attn.k.weight,-104,0,589824,0
300,blocks.0.attn.k.weight,-103,0,589824,0
300,blocks.0.attn.k.weight,-102,0,589824,0
300,blocks.0.attn.k.weight,-101,0,589824,0
300,blocks.0.attn.k.weight,-100,0,589824,0
300,blocks.0.attn.k.weight,-99,0,589824,0
300,blocks.0.attn.k.weight,-98,0,589824,0
300,blocks.0.attn.k.weight,-97,0,589824,0
300,blocks.0.attn.k.weight,-96,0,589824,0
300,blocks.0.attn.k.weight,-95,0,589824,0
300,blocks.0.attn.k.weight,-94,0,589824,0
300,blocks.0.attn.k.weight,-93,0,589824,0
300,blocks.0.attn.k.weight,-92,0,589824,0
300,blocks.0.attn.k.weight,-91,0,589824,0
300,blocks.0.attn.k.weight,-90,0,589824,0
300,blocks.0.attn.k.weight,-89,0,589824,0
300,blocks.0.attn.k.weight,-88,0,589824,0
300,blocks.0.attn.k.weight,-87,0,589824,0
300,blocks.0.attn.k.weight,-86,0,589824,0
300,blocks.0.attn.k.weight,-85,0,589824,0
300,blocks.0.attn.k.weight,-84,0,589824,0
300,blocks.0.attn.k.weight,-83,0,589824,0
300,blocks.0.attn.k.weight,-82,0,589824,0
300,blocks.0.attn.k.weight,-81,0,589824,0
300,blocks.0.attn.k.weight,-80,0,589824,0
300,blocks.0.attn.k.weight,-79,0,589824,0
300,blocks.0.attn.k.weight,-78,0,589824,0
300,blocks.0.attn.k.weight,-77,0,589824,0
300,blocks.0.attn.k.weight,-76,0,589824,0
300,blocks.0.attn.k.weight,-75,0,589824,0
300,blocks.0.attn.k.weight,-74,0,589824,0
300,blocks.0.attn.k.weight,-73,0,589824,0
300,blocks.0.attn.k.weight,-72,0,589824,0
300,blocks.0.attn.k.weight,-71,0,589824,0
300,blocks.0.attn.k.weight,-70,0,589824,0
300,blocks.0.attn.k.weight,-69,0,589824,0
300,blocks.0.attn.k.weight,-68,0,589824,0
300,blocks.0.attn.k.weight,-67,0,589824,0
300,blocks.0.attn.k.weight,-66,0,589824,0
300,blocks.0.attn.k.weight,-65,0,589824,0
300,blocks.0.attn.k.weight,-64,0,589824,0
300,blocks.0.attn.k.weight,-63,0,589824,0
300,blocks.0.attn.k.weight,-62,0,589824,0
300,blocks.0.attn.k.weight,-61,0,589824,0
300,blocks.0.attn.k.weight,-60,0,589824,0
300,blocks.0.attn.k.weight,-59,0,589824,0
300,blocks.0.attn.k.weight,-58,0,589824,0
300,blocks.0.attn.k.weight,-57,0,589824,0
300,blocks.0.attn.k.weight,-56,0,589824,0
300,blocks.0.attn.k.weight,-55,0,589824,0
300,blocks.0.attn.k.weight,-54,0,589824,0
300,blocks.0.attn.k.weight,-53,0,589824,0
300,blocks.0.attn.k.weight,-52,0,589824,0
300,blocks.0.attn.k.weight,-51,0,589824,0
300,blocks.0.attn.k.weight,-50,0,589824,0
300,blocks.0.attn.k.weight,-49,0,589824,0
300,blocks.0.attn.k.weight,-48,0,589824,0
300,blocks.0.attn.k.weight,-47,0,589824,0
300,blocks.0.attn.k.weight,-46,0,589824,0
300,blocks.0.attn.k.weight,-45,0,589824,0
300,blocks.0.attn.k.weight,-44,0,589824,0
300,blocks.0.attn.k.weight,-43,0,589824,0
300,blocks.0.attn.k.weight,-42,0,589824,0
300,blocks.0.attn.k.weight,-41,0,589824,0
300,blocks.0.attn.k.weight,-40,0,589824,0
300,blocks.0.attn.k.weight,-39,0,589824,0
300,blocks.0.attn.k.weight,-38,0,589824,0
300,blocks.0.attn.k.weight,-37,0,589824,0
300,blocks.0.attn.k.weight,-36,0,589824,0
300,blocks.0.attn.k.weight,-35,0,589824,0
300,blocks.0.attn.k.weight,-34,0,589824,0
300,blocks.0.attn.k.weight,-33,0,589824,0
300,blocks.0.attn.k.weight,-32,0,589824,0
300,blocks.0.attn.k.weight,-31,0,589824,0
300,blocks.0.attn.k.weight,-30,0,589824,0
300,blocks.0.attn.k.weight,-29,0,589824,0
300,blocks.0.attn.k.weight,-28,0,589824,0
300,blocks.0.attn.k.weight,-27,0,589824,0
300,blocks.0.attn.k.weight,-26,0,589824,0
